Database,Count
PostgreSQL,11514
MySQL,8556
SQLite,7021
MongoDB,5930
Microsoft SQL Server,5870
Redis,5814
MariaDB,3994
Elasticsearch,3491
Dynamodb,2268
Oracle,1907
Cloud Firestore,1467
Firebase Realtime Database,1429
BigQuery,1177
Supabase,1122
Cosmos DB,1070
H2,884
Microsoft Access,802
Snowflake,620
InfluxDB,597
Cassandra,544
Neo4J,445
Databricks SQL,402
Clickhouse,399
Solr,388
IBM DB2,326
DuckDB,305
Couch DB,263
Cockroachdb,247
Firebird,206
Couchbase,166
Presto,124
EventStoreDB,70
RavenDB,68
Datomic,57
TiDB,43
