Language,Count
JavaScript,14943
SQL,12602
HTML/CSS,12410
TypeScript,10709
Python,9590
Bash/Shell (all shells),7244
C#,6340
Java,5982
PHP,4644
PowerShell,3438
Go,3305
C++,3081
C,2777
Rust,2284
Kotlin,1958
Ruby,1500
Dart,1390
Lua,1160
Visual Basic (.Net),957
Swift,898
Groovy,756
R,711
VBA,710
Assembly,685
Elixir,673
MATLAB,592
Scala,507
Perl,463
Objective-C,390
GDScript,387
Delphi,349
Solidity,302
Haskell,300
MicroPython,285
Erlang,251
Clojure,245
Lisp,237
F#,194
Zig,187
Apex,176
Prolog,151
Julia,143
Fortran,141
Cobol,122
Ada,107
OCaml,105
Crystal,83
Nim,54
Zephyr,39
